Italian;English
e;and
non;not
che;that
di;of
la;there
il;the
un;a
a;to
per;for
è;and
in;in
una;a
mi;me
sono;i am
ho;i have
l';the
si;yes
ha;ha
ma;but
lo;the
cosa;what
con;with
no;no
le;the
ti;you
se;if
da;from
i;the
come;as
io;i
ci;there
hai;you have
questo;this
bene;well
qui;here
sei;six
del;of
tu;you
solo;alone
mio;my
al;al
me;me
tutto;all
c';there
te;tea
era;era
della;from the
mia;my
fatto;done
fare;do
essere;to be
so;i know
quando;when
sì;yes
ora;now
lei;she
gli;the
ne;no
oh;oh
questa;this
detto;said
ok;ok
va;go
perche;why
quello;that
mai;never
alla;at the
o;or
anche;also
stato;state
abbiamo;we have
tutti;everyone
dei;of the
grazie;thank you
chi;who
sta;is
molto;very
più;more
voglio;i want
perché;why
tuo;your
beh;well
sia;is
nel;in the
lui;him
allora;at that time
posso;i can
piu;more
ehi;hey
prima;before
tua;your
suo;his
niente;nothing
qualcosa;something
sai;you know
siamo;we are
un';a
cosi;like this
davvero;really
ancora;still
hanno;they have
stai;you are
fa;ago
sua;its
così;like this
casa;house
uno;a
dove;where
su;on
vero;TRUE
vuoi;you want
noi;us
due;two
quindi;therefore
dire;say
d';d'
delle;from the
quella;that
sempre;always
altro;other
sto;i'm
andare;go
ad;to
po;bit
loro;they
devo;i have to
quel;that
forse;perhaps
li;there
proprio;own
certo;certain
tempo;time
nella;in the
poi;then
vi;you
credo;i believe
vita;life
cose;things
sul;on the
quanto;how much
puoi;you can
fuori;out
anni;years
cui;which
andiamo;let's go
dell';of the
parte;part
visto;view
qualcuno;someone
all';to
lavoro;work
voi;you
ciao;hi
dio;god
volta;time
dopo;after
adesso;now
stata;was
uomo;man
padre;father
devi;you have to
bisogno;need
gia;already
amico;friend
ed;and
posto;place
nessuno;nobody
via;away
cos';what is it
fai;you do
signore;gentleman
meglio;better
cazzo;fuck
dai;come on
dal;from the
vuole;wants
sembra;it seems
giorno;day
ogni;everything is fine
modo;way
senza;without
vedere;see
dobbiamo;we have to
signor;mr
qualche;some
dispiace;sorry
penso;i think
ecco;here you are
parlare;speak
tra;between
mamma;mom
già;already
sarebbe;would be
dalla;from the
troppo;too
fosse;is
possiamo;we can
ce;there is
nuovo;new
male;bad
madre;mother
avete;you have
tanto;a lot
favore;favor
successo;success
vai;go
sulla;on the
giusto;right
sa;you know
miei;my
aspetta;wait
avere;have
altra;other
farlo;do it
alle;at
facendo;doing
abbia;have
momento;moment
ero;i was
aveva;i had
ragazzi;boys
deve;must
persone;people
nostro;our
tipo;type
prego;please
grande;big
può;can
senti;listen
appena;as soon as
potrebbe;could be
soldi;money
dice;he says
sapere;know
tre;three
oggi;today
questi;these
piace;pleases
idea;idea
siete;you are
ai;to the
avevo;i had
figlio;son
accordo;agreement
gente;people
sicuro;safe
vieni;you come
degli;of the
guarda;look
dentro;in
trovato;found
queste;these
caso;case
forza;force
dov';where's
tutte;all
pensi;you think
signora;lady
faccio;i do
nome;name
avuto;had
problema;problem
altri;others
puo;can
aver;have
mondo;world
tutta;all
preso;taken
nulla;nothing
nostra;our
donna;woman
stare;stay
basta;enough
insieme;together
faccia;face
ragazza;lass
subito;right away
famiglia;family
ragazzo;lad
volevo;i wanted
okay;okay
sentito;sense
ah;ah
stesso;same
ragione;reason
sarà;will be
tuoi;yours
capito;understood
notte;night
volte;times
testa;head
serve;it helps
tesoro;treasure
sotto;under
eh;eh
suoi;his
vado;i go
sara;will be
dato;given
stiamo;we are
bella;pretty
scusa;excuse me
erano;they were
pensavo;i thought
avrei;i would have
prendere;take
buona;good
porta;brings
bello;handsome
moglie;wife
vorrei;i would like
storia;history
succede;happens
morto;died
cercando;looking
dici;you say
persona;person
pronto;ready
meno;less
dovuto;due
avanti;after you
capisco;i understand
secondo;second
venire;come
polizia;police
lì;there
avrebbe;would have
stanno;they are
mentre;while
letto;bed
fino;until
dico;i say
amici;friends
fine;end
aiuto;help
paura;fear
fratello;brother
stavo;i was
uomini;men
nell';in the'
domani;tomorrow
facciamo;we do
abbastanza;enough
capo;boss
amore;love
nei;in the
ucciso;killed
state;stay
piano;floor
macchina;machine
trovare;find
comunque;anyway
vediamo;we see
giorni;days
nemmeno;neither
mano;hand
dall';from
presto;soon
stati;states
merda;shit
far;do
bambino;child
andato;left
vedo;i see
tornare;return
quelle;those
cio;that is
primo;first
vostro;your
neanche;not even
sera;evening
giro;tour
morte;death
e';and'
qua;here
pensato;thought
buon;good
anno;year
mie;my
diavolo;devil
quasi;almost
piacere;pleasure
bel;nice
dovrei;i should
nessun;no
contro;against
stessa;itself
felice;happy
colpa;guilt
punto;point
andata;gone
dovrebbe;should
vedi;you see
quale;which
chiesto;asked
invece;instead
perchè;why
migliore;improve
nostri;our
finito;finished
figlia;daughter
dovresti;you should
papa;pope
almeno;at least
sento;i feel
quei;those
col;with the
ore;hours
passato;past
magari;perhaps
minuti;minutes
terra;earth
vostra;yours
strada;street
sola;alone
credi;believe
importante;important
sue;his
salve;greetings
settimana;week
perso;lost
uscire;go out
parlato;spoke
papà;pope
stasera;this evening
scusi;excuse me
dollari;dollars
occhi;eyes
mani;hands
ultima;last
possibile;possible
scuola;school
significa;means
sapevo;i knew
nelle;in
potrei;i could
stava;was
bambini;children
eri;you were
importa;matters
indietro;backwards
riesco;i am able to
sangue;blood
chiama;call
messo;put in order
piccolo;small
traduzione;translation
tardi;late
cuore;heart
marito;husband
viene;he comes
venuto;came
ieri;yesterday
spero;i hope
ricordi;memories
quelli;those
dovremmo;we should
lasciato;left
ascolta;listen
difficile;difficult
quell';that
auto;car
chiamato;called
ciò;that is
altre;other
parlando;speaking
pensare;think
fantastico;fantastic
fatta;done
numero;number
veramente;truly
fanno;they do
com';how's it
serio;serious
possa;can
fossi;i was
entrare;enter
anch';too
qualsiasi;any
pensa;thinks
dicendo;saying
acqua;waterfall
portato;carried
stanza;room
problemi;problems
forte;strong
nessuna;none
lascia;leaves
amo;i love
roba;stuff
agente;agent
dietro;behind
corpo;body
pare;it seems
sentire;feel
foto;photo
telefono;telephone
voleva;he wanted
poco;little
prendi;you take
piccola;small
vicino;neighbor
quest';this
sacco;sack
stia;stay
capire;understand
potuto;could
cinque;five
strano;strange
tue;yours
andando;going
donne;women
sappiamo;we know
bravo;bravo
ragazze;girls
festa;party
senso;sense
genere;type
quattro;four
dare;give
attimo;moment
sorella;sister
pure;as well
probabilmente;probably
film;movie
parla;speaks
ufficio;office
verso;towards
mesi;months
farti;make you
unica;unique
morire;die
signorina;miss
vecchio;old
domanda;request
ben;well
guerra;war
dottore;doctor
conosco;i know
qual;qual
vivere;live
vista;view
prova;trial
nuova;new
ricordo;i remember
divertente;fun
avessi;i had
sicura;safe
paio;couple
conto;i count
perdere;lose
dimmi;tell me
farmi;make me
figli;children
mezzo;half
lavorare;work
unico;unique
esattamente;exactly
squadra;squad
esatto;exactly
possono;they can
fate;do
faro;lighthouse
sapete;you know
dottor;dr
parola;word
piedi;feet
sopra;above
motivo;reason
avevi;you had
cavolo;cabbage
capitano;captain
finita;finished
volete;you want
siano;they are
potresti;you could
gioco;game
perfetto;perfect
be;well
mente;mind
mangiare;eat
resto;rest
credere;believe
fortuna;fortune
tratta;deals with
chiamo;i'll call
morta;dead
là;there
entrambi;both
avresti;you would have
passare;pass
cena;dinner
the;the
sarei;i would be
controllo;check
affari;business
spiace;sorry
ultimo;last
facile;easy
farò;lighthouse
buongiorno;good morning
davanti;in front of
tizio;dude
dammi;give me
sicurezza;safety
dalle;come on
quanti;how many
dica;say
matrimonio;marriage
john;john
vogliono;they want
molti;many
culo;ass
fuoco;fire
cercare;look for
pistola;pistol
potremmo;we could
re;king
mandato;mandate
puttana;whore
negli;in the
cioe;meaning what
inizio;start
saranno;they will be
causa;cause
voglia;wants
mettere;put
fammi;do for me
uccidere;kill
vogliamo;we want
faremo;we'll do it
però;though
genitori;parents
sesso;sex
potete;you can
ricevuto;received
vivo;live
presidente;president
città;city
citta;city
succedendo;happening
ospedale;hospital
fu;it was
agli;to
scritto;written
smettila;stop it
vada;go
attenzione;attention
sulle;on
bere;drink
situazione;situation
omicidio;homocide
revisione;revision
avesse;had
ottimo;optimal
cura;treatment
durante;during
provato;tried
parole;words
lasciare;leave
dicono;they say
new;new
prossima;next
nostre;our
arrivato;arrived
paese;village
sull';on the
andate;go
chiunque;whoever
capisci;you understand
pace;peace
immagino;i imagine
musica;music
tieni;here
oddio;hate
jack;jack
libro;book
eravamo;we were
amica;friend
diventare;become
sui;on
sbagliato;wrong
dirmi;tell me
wow;wow
farai;you will do
entra;enter
venuta;coming
scelta;choice
voluto;wanted
portare;bring
assolutamente;absolutely
molte;many
chiedo;i ask
torna;come back
scoperto;discovery
fatti;facts
settimane;weeks
dirlo;say it
alcuni;some
prigione;prison
giornata;day
piuttosto;rather
buono;good
aspettare;wait
parli;speak
arrivare;arrive
lungo;long
vede;you see
avvocato;lawyer
deciso;decided
sarai;you will be
messaggio;message
dormire;sleep
dieci;ten
stupido;stupid
usare;use
dello;of
cielo;sky
guardare;watch
bagno;bath
aria;air
voce;voice
tornato;returned
vuol;wants
giù;below
conosci;you know
benissimo;very well
prendo;i take
verita;truth
cane;dog
restare;remain
chiamare;call
poter;be able to
campo;field
luce;light
sam;sam
qualunque;anyone
giovane;young
signori;gentlemen
fra;between
provare;try
minuto;minute
saperlo;know it
lontano;distant
gruppo;group
continua;continues
arrivo;i arrive
gran;great
realta;reality
cerca;near
passo;step
domande;requests
insomma;in short
bambina;girl
pensando;thinking
capelli;hair
trova;finds
onore;honor
aiutare;help
verità;truth
prove;tests
n';n'
funziona;works
alto;high
giu;below
credevo;i believed
futuro;future
preoccuparti;worry
idiota;idiot
cibo;food
fretta;rush
cara;dear
finalmente;finally
morti;dead
odio;hatred
solito;usual
brava;good
é;and
incidente;accident
allo;at the
dev';must
intenzione;intention
speciale;special
cambiare;change
vera;TRUE
camera;room
oltre;beyond
semplice;simple
dirti;tell you
riguardo;regard
finche;until
aspetto;i wait
viaggio;voyage
chiaro;clear
chiamata;call
bocca;mouth
permesso;permit
piacerebbe;i would like it
dovete;you have to
giocare;play
ordine;order
circa;about
ovviamente;obviously
finire;finish
piu';more'
natale;christmas
i';the'
direi;i would say
vostri;yours
occhio;eye
pronta;ready
scusami;excuse me
mattina;morning
cercato;searched
crede;believe
sistema;system
york;york
fondo;bottom
resta;stay
devono;they must
prossimo;next
pronti;ready
saputo;known
scusate;excuse me
potere;candies
milioni;millions
soltanto;only
armi;weapons
arriva;he arrives
fermo;stopped
mese;month
chiedere;ask
cristo;christ
torno;i'll be back
venite;come
controllare;check
appuntamento;appointment
s;s
chiami;call
vecchia;old
detective;detective
pero;but
metti;you put
grado;degree
vanno;they go
nave;ship
iniziato;started
perche';why'
informazioni;information
libero;free
stronzo;asshole
grandi;large
pezzo;piece
segreto;secret
colpo;hit
faceva;he did
piacciono;they like them
porto;port
oppure;or
completamente;completely
vederti;see you
lista;list
venga;come
veloce;fast
assassino;murderer
sapeva;he knew
finché;until
tom;tom
ormai;at this point
interessa;interests
generale;general
giusta;right
tenere;hold
pazzo;crazy
vittima;victim
giuro;i swear
consiglio;advise
michael;michael
alcune;someone
semplicemente;simply
zio;uncle
centro;center
specie;species
mille;thousand
sogno;dream
lasci;leave
carino;cute
doveva;where you go
brutto;bad
nello;in
aspetti;wait
incredibile;incredible
sole;sun
glielo;him
legge;law
spesso;often
guardate;look
cambiato;changed
scena;scene
volevi;you wanted
charlie;charlie
lasciami;leave me
gentile;kind
rispetto;respect
ve;ve
fara;will do
zitto;shut up
incontro;encounter
farà;will do
servono;they are needed
rapporto;relationship
errore;mistake
mike;mike
sanno;they know
pagare;pay
sorpresa;surprise
occhiata;look
risposta;answer
presa;taken
servizio;service
medico;doctor
usato;used
hey;hey
caro;dear
schifo;disgust
avrai;you will have
dolore;pain
saresti;you would be
personale;personal
quali;which
saro;saro
peggio;worse
addio;goodbye
addosso;on
dovevo;i had to
poteva;he could
pieno;full
diverso;different
vestiti;clothes
sparato;shot
realtà;reality
do;do
sarò;i will be
normale;normal
fame;hunger
programma;plan
nonna;grandmother
sappia;know
sembrava;it seemed
migliori;better
notizie;news
avevamo;we had
riesci;you can
posizione;position
vengo;i'm coming
rimanere;stay
compagnia;company
proposito;purpose
farci;do it
joe;joe
ricorda;remember
frank;frank
prende;takes
tante;many
avevano;they had
arrivando;arriving
chiuso;closed
terribile;terrible
ritardo;delay
attento;careful
bar;bar
sembri;you seem
fallo;foul
dimenticato;forgotten
bisogna;must
impossibile;impossible
cioè;meaning what
studio;study
stessi;themselves
arma;weapon
conosce;knows
uscita;exit
ii;ii
fin;fin
disse;he said
david;david
vattene;go away
quante;how many
guai;trouble
intorno;environment
video;video
manca;lacks
esserci;be there
grosso;big
tanti;many
dolce;sweet
chiave;key
cervello;brain
coraggio;courage
interessante;interesting
